"","time","MR_mean_summ","MR_sd_summ"
"1",1,0.759736015421282,0.274404997871086
"2",2,0.750087680547454,0.277135686592879
"3",3,0.756793013262704,0.269335579971878
"4",4,0.777662176944953,0.261256204160144
"5",5,0.765983997301791,0.267580496468991
"6",6,0.725234383131895,0.309847171161401
"7",7,0.690554725402171,0.334056670364786
"8",8,0.71336805569161,0.313119640953267
"9",9,0.734986579367229,0.276048306154124
"10",10,0.725749734988176,0.280584505684465
"11",11,0.731510674945649,0.27243840298348
"12",12,0.708780949293727,0.306213412441324
"13",13,0.623329307644953,0.356301001191334
"14",14,0.696306062101831,0.319152413132109
"15",15,0.74872166095681,0.295057091617437
"16",16,0.712413032883678,0.303301743951042
"17",17,0.702533336717428,0.317175266203188
"18",18,0.75454075936701,0.292923676420458
"19",19,0.755621096995583,0.289436932854205
"20",20,0.756086156869842,0.285546268362571
"21",21,0.745838142229665,0.291295154999458
"22",22,0.745986223358954,0.28352100524182
"23",23,0.666605229686965,0.333605925287506
"24",24,0.744015134815284,0.304110284047614
"25",25,0.729252474238821,0.297725796135389
"26",26,0.730561025624395,0.296224308622693
"27",27,0.653997352375149,0.34141722034725
"28",28,0.634614502164495,0.350746758462082
"29",29,0.678658363058331,0.338800187439255
"30",30,0.724905944208817,0.304912196366234
"31",31,0.731651521626754,0.295798241364249
"32",32,0.726877249531999,0.295969720519585
"33",33,0.745361584093818,0.290299003055903
"34",34,0.715191324710571,0.304725489900371
"35",35,0.719073611632536,0.302909625839279
"36",36,0.717913762300977,0.296991992816463
"37",37,0.73486305957641,0.286951009531967
"38",38,0.747277301426159,0.28670554730465
"39",39,0.761351486380653,0.282199244602512
"40",40,0.765708592901593,0.282560765610905
"41",41,0.762245187662639,0.280717019326357
"42",42,0.731430728224792,0.298439042127492
"43",43,0.682327186784455,0.309477082845407
"44",44,0.738989430421315,0.297108100240366
"45",45,0.729207260781461,0.286452218932542
"46",46,0.748300597730752,0.279691867807795
"47",47,0.748823801884975,0.275986838296266
"48",48,0.74018390321655,0.278534413216673
"49",49,0.727750136207056,0.277778912711007
"50",50,0.750232361533531,0.274154125850043
"51",51,0.752162983923999,0.275294147989463
"52",52,0.733483081075243,0.284332720261017
"53",53,0.702573298619677,0.318063655882241
"54",54,0.686323767353427,0.330194976698656
"55",55,0.671923382672324,0.325144626095856
"56",56,0.718386448538739,0.299194330916902
"57",57,0.720789524883324,0.287443320077465
"58",58,0.746683576909206,0.279750531579267
"59",59,0.742742894944724,0.281473870450442
"60",60,0.73228705078239,0.27221994968376
"61",61,0.716081754902269,0.272474475735536
"62",62,0.710530289175169,0.283917703556046
"63",63,0.676454890678773,0.287435392908457
"64",64,0.712043308255845,0.276192276123426
"65",65,0.70329341000897,0.287361979008737
"66",66,0.721961646855267,0.281038929423922
"67",67,0.675190483294815,0.322923612283773
"68",68,0.70592061970934,0.313592010986234
"69",69,0.686410576483246,0.317559590529343
"70",70,0.690845584926021,0.313500450929978
"71",71,0.69700075220595,0.301345363716573
"72",72,0.678380193706012,0.302785549818651
