"iteration","age_impact","MR_death_impact","MR_age_impact","age_recruit_impact_value","MR_recruit_impact","recruitment_const","timeperiod","pop_struct","pop_size","mean_MR","sd_MR","pop_growth_trend","pop_growth_R2"
1,1,0.2875,5,0.7525,0.7525,0.007,"Before",2923.61233866152,15100,0.487502151408285,0.201886078132248,-214.500000000092,0.119705408178284
1,1,0.2875,5,0.7525,0.7525,0.007,"Soon",21863.9197213091,65256,0.426694071792216,0.0559213959823884,-31.4736842105265,0.28952007349108
1,1,0.2875,5,0.7525,0.7525,0.007,"After",16278.9758956307,42843,0.422312628207386,0.0561356021233883,30.2090909090908,0.0814790839196287
2,1,0.2875,16.25,0.7525,0.7525,0.007,"Before",2923.61233866152,15100,0.487502151408285,0.201886078132248,-214.500000000092,0.119705408178284
2,1,0.2875,16.25,0.7525,0.7525,0.007,"Soon",25803.5676516977,66835,0.426561505519262,0.055976661174155,-85.4982456140347,0.621992048242894
2,1,0.2875,16.25,0.7525,0.7525,0.007,"After",9774.40669317303,26633,0.424786209722189,0.0566729300429266,-97.3181818181806,0.707047041936994
8,1,0.2875,16.25,0.2575,1,0.00325,"Before",7539.10621750601,14421,0.490388604913229,0.205728295054264,-405.000000000119,0.377916018662613
8,1,0.2875,16.25,0.2575,1,0.00325,"Soon",15615.8790641564,62642,0.426569748837958,0.0563300640921412,-55.9578947368419,0.607326313943531
8,1,0.2875,16.25,0.2575,1,0.00325,"After",6159.47893433952,24810,0.422614859890673,0.0557821949325809,-54.4909090909085,0.704723059885312
9,1,0.2875,5,0.2575,1,0.00325,"Before",7539.10621750601,14421,0.490388604913229,0.205728295054264,-405.000000000119,0.377916018662613
9,1,0.2875,5,0.2575,1,0.00325,"Soon",17519.1561597808,75581,0.426975141869614,0.0567676162489816,-37.0456140350875,0.404021755944705
9,1,0.2875,5,0.2575,1,0.00325,"After",10593.2682665382,40101,0.425122528159237,0.0582390172826295,-75.3636363636355,0.568573181559602
12,0.325,1,5,0.2575,1,0.007,"Before",3244.13486355382,15005,0.483635832554809,0.203784490899731,-924.500000000325,0.216912352833919
12,0.325,1,5,0.2575,1,0.007,"Soon",39071.18758642,63808,0.419026944114488,0.0556109832498384,-51.7578947368417,0.546985468857179
12,0.325,1,5,0.2575,1,0.007,"After",19769.4478627472,31274,0.408361195887194,0.0537634025356647,-28.7727272727269,0.0987353543875968
13,0.325,1,5,0.2575,0.2575,0.007,"Before",3244.13486355382,15005,0.483635832554809,0.203784490899731,-924.500000000325,0.216912352833919
13,0.325,1,5,0.2575,0.2575,0.007,"Soon",28253.0620469278,46514,0.416099871042975,0.0574272294574909,-86.4280701754384,0.749203533367028
13,0.325,1,5,0.2575,0.2575,0.007,"After",9705.1544519902,17356,0.409832187230196,0.0578043201003034,-49.4909090909091,0.480976639219363
15,0.1,1,5,0.01,0.2575,0.00325,"Before",4952.10308531433,15716,0.485109704154174,0.198708120976336,-123.500000000096,0.0244739937324026
15,0.1,1,5,0.01,0.2575,0.00325,"Soon",47560.3521625245,67465,0.417484612642082,0.055841809667155,-78.9543859649117,0.689680935464175
15,0.1,1,5,0.01,0.2575,0.00325,"After",19072.8305282407,32746,0.416874375724475,0.0578931452067229,15.7090909090911,0.0650157597652656
18,0.1,0.2875,16.25,0.7525,0.2575,0.00325,"Before",10197.0833339053,15075,0.487085983331998,0.202176776810661,-76.0000000000456,0.051142652228237
18,0.1,0.2875,16.25,0.7525,0.2575,0.00325,"Soon",66731.8459751624,85656,0.423055077718254,0.056850944960631,-30.0456140350874,0.126206555838244
18,0.1,0.2875,16.25,0.7525,0.2575,0.00325,"After",43582.6414841997,51251,0.418229781323628,0.0571179543167465,-18.9818181818175,0.0937662837078363
19,0.775,0.2875,16.25,0.7525,0.2575,0.00325,"Before",11166.9416381291,14475,0.489253818765479,0.20572860380545,-175.000000000045,0.56863546057161
19,0.775,0.2875,16.25,0.7525,0.2575,0.00325,"Soon",19398.106791924,67322,0.428811851842553,0.059283488446905,-103.715789473684,0.855699983465966
19,0.775,0.2875,16.25,0.7525,0.2575,0.00325,"After",8684.34313526218,29345,0.419795258172074,0.0593276051850472,-60.9909090909079,0.468218045876134
22,0.775,0.05,8.75,1,0.7525,0.002,"Before",11147.3288083229,14445,0.488536012981728,0.20617975935002,10.5000000000188,0.00317001638921107
22,0.775,0.05,8.75,1,0.7525,0.002,"Soon",23719.8066051949,85667,0.428780409375445,0.0557895593912838,3.35087719298264,0.00380734573826119
22,0.775,0.05,8.75,1,0.7525,0.002,"After",11191.8431186426,51026,0.427015833670892,0.0566347076473064,59.445454545454,0.449229443995246
27,0.1,0.7625,20,0.2575,0.7525,0.00575,"Before",3763.82409230169,14960,0.484574186713803,0.203707539655724,-854.000000000299,0.219899929083682
27,0.1,0.7625,20,0.2575,0.7525,0.00575,"Soon",26901.4246875778,35387,0.415537298320286,0.0586542032925492,-117.417543859649,0.781488249574894
27,0.1,0.7625,20,0.2575,0.7525,0.00575,"After",7418.86590836407,9858,0.408126226746851,0.059668581556464,-40.4272727272721,0.496265899307431
28,0.1,0.7625,20,0.2575,0.01,0.00575,"Before",3763.82409230169,14960,0.484574186713803,0.203707539655724,-854.000000000299,0.219899929083682
28,0.1,0.7625,20,0.2575,0.01,0.00575,"Soon",30697.5559877662,40182,0.413158827397193,0.0588130289433195,-136.015789473684,0.816161277447137
28,0.1,0.7625,20,0.2575,0.01,0.00575,"After",5908.44811230499,7002,0.394751010042572,0.0574776197264635,-30.9818181818181,0.526333477441624
29,0.775,0.05,8.75,0.7525,0.7525,0.002,"Before",11767.7523893793,14087,0.490234447890588,0.208347381359151,-267.000000000054,0.902502837900054
29,0.775,0.05,8.75,0.7525,0.7525,0.002,"Soon",25660.5934027351,89487,0.427860679708188,0.0563458279906245,-6.4964912280702,0.0451887143828777
29,0.775,0.05,8.75,0.7525,0.7525,0.002,"After",15870.8524183568,53220,0.429100526587137,0.0575252315213775,-36.3636363636365,0.190066190550863
30,0.775,0.05,8.75,0.7525,0.01,0.002,"Before",11767.7523893793,14087,0.490234447890588,0.208347381359151,-267.000000000054,0.902502837900054
30,0.775,0.05,8.75,0.7525,0.01,0.002,"Soon",83436.2111600177,90443,0.429381695613062,0.0561658489155139,7.3105263157896,0.0536572448219234
30,0.775,0.05,8.75,0.7525,0.01,0.002,"After",12864.7264440427,51673,0.428189357346642,0.0556981448148107,-70.7818181818168,0.235360944161547
35,0.1,0.7625,20,0.01,0.01,0.00575,"Before",3120.33254392596,14804,0.486442025704376,0.204858505369469,-1133.00000000038,0.242645652276451
35,0.1,0.7625,20,0.01,0.01,0.00575,"Soon",23499.2900141014,28541,0.404349731785996,0.057674068533,-117.28245614035,0.866920029345876
35,0.1,0.7625,20,0.01,0.01,0.00575,"After",5161.3532933624,7000,0.390307920037104,0.0571302111211327,-16.372727272727,0.220329679287139
36,0.325,0.05,16.25,0.2575,0.7525,0.007,"Before",3244.13486355382,15005,0.483635832554809,0.203784490899731,-924.500000000325,0.216912352833919
36,0.325,0.05,16.25,0.2575,0.7525,0.007,"Soon",71270.6259151743,86901,0.420275661283217,0.0568066031993101,-0.0964912280702918,2.56677070022354e-07
36,0.325,0.05,16.25,0.2575,0.7525,0.007,"After",44873.8405481881,55389,0.420636064014667,0.0539254781704294,83.5000000000002,0.174573881860212
